"CitationID","Paper","Authors","Year","Venue","DOI","URL","ResearchFamily","WhyRelevant","PrimaryEvidence","Verified","Notes"
"B7-05","Towards Instance-Optimized Data Systems","Tim Kraska","2021","Proceedings of the VLDB Endowment, vol. 14(12)","10.14778/3476311.3476392","https://doi.org/10.14778/3476311.3476392","B7","'Instance-optimized systems' is the closest named research program to ADS-Cascade's overall philosophy (use observed instance data to derive a specialized system rather than a generic one-size-fits-all one), but Kraska's vision is performance/cost specialization to workload and data distribution, not label-consistency-driven choice between qualitatively different architectures for a classification task.","Abstract","VERIFIED","Confirmed via publisher page and dblp record, plus MIT DSpace open-access copy."
"B7-06","Self-Driving Database Management Systems (Peloton)","Pavlo, Angulo, Arulraj, Lin, Lin, Ma, Menon, Mowry, Perron, Quah, et al.","2017","CIDR 2017","","https://db.cs.cmu.edu/papers/2017/p42-pavlo-cidr17.pdf","B7","Explicitly rejects a one-time pre-deployment gate in favor of continuous, ongoing, forecasting-driven re-optimization -- the opposite temporal structure from ADS-Cascade's stated 'ONE TIME before deployment' design-time architecture decision; also has no human-in-the-loop by design, the opposite of ADS-Cascade's explicit human-feedback mechanism.","Abstract","VERIFIED","Confirmed via CMU DB Group publication page and CIDR 2017 slide deck; author list corrected from a garbled search-tool record via this direct source."
"B4-01","On optimum recognition error and reject tradeoff","C.K. Chow","1970","IEEE Transactions on Information Theory, vol. 16(1)","10.1109/TIT.1970.1054406","https://doi.org/10.1109/TIT.1970.1054406","B4","Chow's rule is a single binary accept/reject threshold on live posterior probability; ADS-Cascade's T1-T4 cascade uses two independently-tracked confidence signals plus a design-time-selected architecture and a permanent feedback loop that alters future thresholds.","Core result in abstract/Section 2","VERIFIED","Confirmed via IEEE Xplore and DBLP."
"B4-02","On the Foundations of Noise-free Selective Classification","El-Yaniv, Wiener","2010","Journal of Machine Learning Research, vol. 11","","http://jmlr.org/papers/v11/el-yaniv10a.html","B4","Formalizes risk-coverage tradeoffs for a single reject threshold with theoretical guarantees; no multi-tier structure, no dual independently-tracked confidence signals, no design-time whole-architecture selection, no human-correction feedback loop.","Section 1 (risk-coverage curve formalism)","VERIFIED","Confirmed via JMLR page and ACM DL record."
"B4-03","Selective Classification for Deep Neural Networks","Geifman, El-Yaniv","2017","NeurIPS 30","","https://arxiv.org/abs/1705.08500","B4","Calibrates a single confidence threshold to guarantee a target risk; no multi-tier structure, no OCR-vs-classification dual-signal separation, no architecture-selection step, no feedback loop.","Section 3 (SR algorithm)","VERIFIED","Confirmed via DBLP (conf/nips/GeifmanE17) and NeurIPS proceedings page."
"B4-04","SelectiveNet: A Deep Neural Network with an Integrated Reject Option","Geifman, El-Yaniv","2019","ICML (PMLR vol. 97)","","https://proceedings.mlr.press/v97/geifman19a.html","B4","End-to-end trained single-model rejection, not a multi-tier cascade over independently-tracked confidence signals, and no dataset-level historical-consistency-driven architecture choice.","Section 3 (joint loss function)","VERIFIED","Confirmed via PMLR proceedings page."
"B4-05","Machine learning with a reject option: a survey","Hendrickx, Perini, Van der Plas, Meert, Davis","2024 (journal; arXiv preprint 2021)","Machine Learning (Springer)","10.1007/s10994-024-06534-x","https://doi.org/10.1007/s10994-024-06534-x","B4","Comprehensive 2024 survey (72 citations, most recent found) of single-threshold/single-model reject-option methods; does not describe any method using a pre-deployment aggregate historical-determinism statistic to choose overall system composition, nor a 4-tier cascade with a permanent human-correction promotion mechanism.","Taxonomy section (ambiguity vs. novelty rejection)","VERIFIED","Confirmed via FastTrack get_paper + Springer publisher page. NOTE: corrects seed lead -- 2021 is the arXiv preprint date, not the peer-reviewed publication year (2024)."
"B4-06","Optimal Strategies for Reject Option Classifiers","Franc, Prusa, Voracek","2023 (journal; arXiv preprint 2021)","Journal of Machine Learning Research, vol. 24(11)","","https://www.jmlr.org/papers/v24/21-0048.html","B4","Single reject threshold with rigorous optimality proofs under cost models; no multi-tier structure, no dual-signal (OCR+classification) tracking, no historical-determinism-based design-time architecture selection.","Section 2 (unified theorem)","VERIFIED","Confirmed via JMLR page. NOTE: corrects seed lead -- third author is Voracek (seed lead's 'Vernon 2022' does not correspond to any findable paper); 2021 is the arXiv date, 2023 the JMLR date."
"B4-07","A Model-Agnostic Heuristics for Selective Classification (SCROSS)","Pugnana, Ruggieri","2023","AAAI Conference on Artificial Intelligence","10.1609/aaai.v37i8.26133","https://doi.org/10.1609/aaai.v37i8.26133","B4","Single accept/reject boundary, model-agnostic but not a multi-tier cascade; no design-time architecture-selection logic at all.","Section 3 (SCROSS algorithm)","VERIFIED","Confirmed via AAAI proceedings PDF (FastTrack search + OA link)."
"B4-08","Support Vector Machines with a Reject Option","Grandvalet, Rakotomamonjy, Keshet, Canu","2008","NeurIPS 21","","http://publications.idiap.ch/index.php/publications/showcite/Grandvalet_Idiap-RR-01-2009","B4","Classic single-threshold-pair reject rule for SVMs, deriving Chow's rule's two thresholds; no design-time architecture-selection component, no multi-tier human-feedback structure.","Section 2 (double hinge derivation)","VERIFIED","Confirmed via OpenAlex/FastTrack record and Idiap publications page."
"B4-09","Second opinion needed: communicating uncertainty in medical machine learning","Kompa, Snoek, Beam","2021","npj Digital Medicine","10.1038/s41746-020-00367-3","https://doi.org/10.1038/s41746-020-00367-3","B4","High-level perspective advocating abstention-to-human patterns in high-stakes domains; does not propose a specific multi-tier cascade, dual confidence-signal architecture, design-time historical-determinism-driven architecture-selection procedure, or permanent-promotion-on-correction mechanism.","Throughout, esp. closing section on abstention as safety mechanism","VERIFIED","Confirmed via Nature publisher page."
"B4-10","Human-Centered Evaluation of a Deep Learning System Deployed in Clinics for Diabetic Retinopathy","Beede, Baylor, Hersch, et al.","2020","CHI '20","10.1145/3313831.3376718","https://doi.org/10.1145/3313831.3376718","B4","Empirically demonstrates that a naive 'reject to human' handoff -- without a formalized, evolving cascade or feedback-into-knowledge-base mechanism -- fails in practice; doesn't propose or evaluate such a mechanism itself.","Findings section on workflow disruption","VERIFIED","Confirmed via ACM DL page."
"B5-01","Predict Responsibly: Improving Fairness and Accuracy by Learning to Defer","Madras, Pitassi, Zemel","2018","NeurIPS 31","","https://proceedings.neurips.cc/paper/2018/hash/09d37c08f7b129e96277388757530c72-Abstract.html","B5","'Learning to defer' here means jointly training a defer function that accounts for a SPECIFIC human's biases, learned from that human's past decisions -- a single binary (defer/not) decision, not a 4-tier cascade, with no design-time whole-architecture-selection mechanism (Part 1) and no formal permanent-promotion-on-correction mechanism.","Section 3 (generalization of 'rejection learning')","VERIFIED","Confirmed via NeurIPS proceedings page and ACM DL record."
"B5-02","Consistent Estimators for Learning to Defer to an Expert","Mozannar, Sontag","2020","ICML (PMLR vol. 119)","","https://proceedings.mlr.press/v119/mozannar20b.html","B5","Establishes the theoretically-grounded 'learning to defer' (L2D) framework the modern sub-literature is built on; still a single binary classify-or-defer decision per item, trained end-to-end, with no multi-tier cascade, no dual independently-tracked confidence signals, no design-time whole-architecture-selection step, and no permanent-promotion-on-correction mechanism.","Section 3 (consistent surrogate loss)","VERIFIED","Confirmed via PMLR proceedings page and MIT Clinical ML lab page."
"B5-03","Human-in-the-loop machine learning: a state of the art","Mosqueira-Rey, Hernandez-Pereira, Alonso-Rios, Bobes-Bascaran, Fernandez-Leal","2022","Artificial Intelligence Review","10.1007/s10462-022-10246-w","https://doi.org/10.1007/s10462-022-10246-w","B5","This survey's HITL is almost entirely about the TRAINING process (active learning query strategies, machine teaching, curriculum design) -- a different lifecycle phase than ADS-Cascade's Part 2, which is inference-time human correction feeding back into a historical KB that changes future routing, not model retraining per se.","Section 2 (taxonomy diagram)","VERIFIED","Confirmed via Springer publisher page."
"B5-04","Towards Unbiased and Accurate Deferral to Multiple Experts","Keswani, Lease, Kenthapadi","2021","AIES '21","10.1145/3461702.3462516","https://doi.org/10.1145/3461702.3462516","B5","Extends L2D to multiple experts with fairness/bias correction; still a single deferral decision per item without ADS-Cascade's tiered structure, dual-signal tracking, or design-time historical-determinism-driven architecture choice.","Section 3 (deferral-to-multiple-experts framework)","VERIFIED","Confirmed via ACM DL page and Amazon Science publication page."
"B5-05","Calibrated Learning to Defer with One-vs-All Classifiers","Verma, Nalisnick","2022","ICML (PMLR vol. 162)","","https://proceedings.mlr.press/v162/verma22c.html","B5","A calibration fix to the L2D framework; same limitations relative to ADS-Cascade as Mozannar & Sontag 2020 -- single defer decision, no design-time architecture selection, no permanent-promotion mechanism.","Section 4 (one-vs-all calibrated loss)","VERIFIED","Confirmed via PMLR proceedings page."
"B5-06","Incorporating uncertainty in learning to defer algorithms for safe computer-aided diagnosis","Liu, Gallego, Barbieri","2022","Scientific Reports","10.1038/s41598-022-05725-7","https://doi.org/10.1038/s41598-022-05725-7","B5","Uses two related uncertainty terms from the SAME model to modulate ONE binary deferral decision -- a partial precedent for 'more than one confidence signal informing routing,' but not architecturally-separate OCR-confidence-vs-classification-confidence channels; still binary, not 4-tier; no design-time architecture-selection.","Methods section (LDU loss formulation)","VERIFIED","Confirmed via Nature publisher page."
"B6-01","Taxonomy of hybrid architectures involving rule-based reasoning and machine learning in clinical decision systems: A scoping review","Kierner, Kucharski, Kierner","2023","Journal of Biomedical Informatics","10.1016/j.jbi.2023.104428","https://doi.org/10.1016/j.jbi.2023.104428","B6","Catalogs 71 existing hybrid rules+ML architecture patterns chosen at design time after the fact; establishes hybrid-architecture-at-design-time as a recognized, populated space, but none of the reviewed systems use ADS-Cascade's determinism-score-driven selection criterion.","Abstract; Results section (five architecture archetypes)","VERIFIED","Confirmed via WebSearch cross-reference to ScienceDirect publisher record and Google Scholar citation."
"B6-02","A Unified Approach to Routing and Cascading for LLMs","Dekoninck, Baader, Vechev","2024","arXiv preprint","","https://arxiv.org/","B6","Unifies 'routing' (pick one model) and 'cascading' (escalate through models) into one theoretically optimal per-query framework, directly analogous in spirit to ADS-Cascade's T1-T4 tiers -- but purely runtime among LLMs of varying size, with no design-time dataset-level architecture-selection step, no rules-vs-ML distinction, no human-in-the-loop feedback.","Abstract","UNVERIFIED-PARTIAL","Confirmed via Consensus search (title/authors/abstract/citation count consistent); DOI not independently resolved."
"B6-03","Hybrid LLM: Cost-Efficient and Quality-Aware Query Routing","Ding, Mallick, Wang, et al. (Microsoft)","2024","arXiv preprint","","https://arxiv.org/","B6","Two-tier confidence/difficulty-gated routing between cheap/expensive models, structurally similar to a subset of ADS-Cascade's tiers, but purely runtime, no design-time phase, both tiers are LLMs rather than rules/embedding/LLM.","Abstract","UNVERIFIED-PARTIAL","Confirmed via Consensus search (title/abstract/citation count); DOI not independently resolved."
"B6-04","Optimising Calls to Large Language Models with Uncertainty-Based Two-Tier Selection","Ramirez, Birch, Titov","2024","arXiv preprint","","https://arxiv.org/","B6","Explicitly a 'two-tier' confidence-gated cascade (echoing ADS-Cascade's tier language) but confined to LLM-vs-LLM escalation with no rules layer, no design-time step, no human-feedback loop into historical data.","Abstract","UNVERIFIED-PARTIAL","Confirmed via Consensus search; DOI not independently resolved."
"B6-05","Split Computing and Early Exiting for Deep Learning Applications: Survey and Research Challenges","Matsubara, Levorato, Restuccia","2022","ACM Computing Surveys","10.1145/3527155","https://doi.org/10.1145/3527155","B6","Early-exit is architecturally a tiered-confidence cascade resembling T1-T4 in SHAPE, but operates within a single DNN's layers on accuracy/latency, not across heterogeneous mechanism types (rules/embeddings/LLM), with no design-time dataset-level architecture-selection and no human-feedback loop.","Abstract","VERIFIED","FastTrack get_paper verified (DOI, venue, citation trajectory)."
"B8-01","Machine learning for financial transaction classification across companies using character-level word embeddings of text fields","Jorgensen, Igel","2021","Intelligent Systems in Accounting, Finance and Management, vol. 28(3)","10.1002/isaf.1500","https://doi.org/10.1002/isaf.1500","B8","Empirically demonstrates the EXACT phenomenon ADS-Cascade's 'cross-company consistency < 0.90 -> hybrid' rule encodes (global classifier generalizes far worse across companies), in the SAME application domain -- but doesn't formalize this into a pre-deployment determinism/consistency metric or a rules-vs-ML-vs-LLM decision procedure; purely ML, no rules, no LLM.","Abstract; Table 8 (leave-one-company-out accuracy); Discussion section","VERIFIED","FastTrack get_paper verified; full-text passages retrieved and read via Scholar Gateway semanticSearch."
"B8-02","Detecting Anomalies in Financial Data Using Machine Learning Algorithms","Bakumenko, Elragal","2022","Systems, vol. 10(5)","10.3390/systems10050130","https://doi.org/10.3390/systems10050130","B8","Same underlying data type (GL journal entries) and audience (accounting/audit), but the task is anomaly/fraud detection, not item-to-account classification, and there is no architecture-selection or cascade mechanism.","Abstract","VERIFIED","FastTrack get_paper verified (DOI, venue, abstract)."
"B8-03","Examining the Plausible Applications of Artificial Intelligence & Machine Learning in Accounts Payable Improvement","Vijaya Kanaparthi","2023","FinTech, vol. 2(3)","10.3390/fintech2030026","https://doi.org/10.3390/fintech2030026","B8","Reports an operational auto-processed/human-fallback split for AP invoices similar in spirit to ADS-Cascade's T1-T4 auto-apply/human-review split, but the abstract does not describe a determinism-based design-time architecture-selection step or explicit confidence tiers -- only an aggregate automation rate.","Abstract","VERIFIED","Confirmed via FastTrack search_papers result (DOI, abstract, venue)."
"B8-04","Invoice GL Coding Automation: Workflow & Controls (practitioner blog)","Ken From Finance (vendor/practitioner blog)","undated (~2025)","industry blog, kenfromfinance.com","","https://www.kenfromfinance.com/blog/invoice-gl-coding-automation","B8","Independently recommends almost the SAME two-part shape as ADS-Cascade (historical-consistency check before deployment + confidence-tiered runtime cascade) -- informally, without a formal aggregate score, without a rules-vs-ML-vs-LLM architecture-selection procedure, and without academic rigor or evaluation.","Direct quotes retrieved via WebFetch, 2026-08-11","VERIFIED-INDUSTRY","Industry source, no DOI. Content retrieved and quoted via WebFetch 2026-08-11; not peer-reviewed."
"B8-05","How to Automate GL Coding for Non-PO Invoices (vendor blog)","Peakflo (AP automation vendor)","undated (~2025)","industry blog, peakflo.co","","https://peakflo.co/blog/gl-coding-automation-non-po-invoices","B8","Confirms confidence-tiered auto-approve/review with a human-correction feedback loop is a standard commercial AP-automation feature; no pre-deployment historical-determinism measurement driving an architecture choice (ML-primary by default, not selected via a measured-determinism decision procedure).","WebFetch-retrieved quote, 2026-08-11","VERIFIED-INDUSTRY","Industry source, no DOI. Content retrieved and quoted via WebFetch 2026-08-11; not peer-reviewed; vendor marketing content, low rigor."
"B8-06","What Are the Best Practices for Using AI Agents in AP? (vendor blog)","Ramp (fintech vendor)","2025-11-03","industry blog, ramp.com","","https://ramp.com/blog/agentic-ai/best-practices-for-ap-agents","B8","Recommends measuring a current-state/historical baseline before deploying AI agents plus confidence-gated auto-post/review -- structurally similar in spirit but far less formal than ADS-Cascade's determinism-score-driven architecture decision; 'baseline' here is operational (time, exception counts), not a label-consistency metric.","WebFetch-retrieved quotes, 2026-08-11","VERIFIED-INDUSTRY","Industry source, no DOI. Content retrieved and quoted via WebFetch 2026-08-11; not peer-reviewed."
