"CitationID","Paper","Authors","Year","Venue","ResearchFamily","Problem","DecisionTiming","HistoricalEvidence","EvidenceSignal","DecisionTarget","ModelSelection","SystemComposition","HeterogeneousMechanisms","RuntimeRouting","DesignTimeSelection","HumanDeferral","ThresholdCalibration","Domain","ClosestADSComponent","OverlapType","OverlapStrength","KeyDifference","PotentialChallengeToContribution","EvidenceLocation","DOI_or_URL"
"B2-06","Meta-Learning (book chapter)","Joaquin Vanschoren","2019","in Automated Machine Learning (Hutter, Kotthoff, Vanschoren, eds.), Springer","B2","Overview of meta-learning for algorithm/config/architecture recommendation","Design-time","Yes (central)","Task/dataset meta-data","Algorithms, hyperparameters, briefly NAS/pipelines","Yes","Some (NAS/pipeline meta-learning briefly)","Varies by technique","No","Yes","Not covered","N/A (survey chapter)","General overview","None","Partial overlap","Low","Same genus-level distinction as other meta-learning papers: task-performance-driven recommendation vs. label-consistency-driven architecture decision.","Minimal -- standard textbook-level overview, useful as a terminology citation anchor, not a specific challenge.","Chapter abstract/introduction","10.1007/978-3-030-05318-5_2"
"B2-07","Meta-learning and the new challenges of machine learning","Monteiro, Ramos, Carneiro, Duarte, Fernandes, Novais","2021","International Journal of Intelligent Systems, vol. 36(11)","B2","Framework paper: design-time algorithm selection + runtime concept-drift adaptation","Both (explicit two-phase split)","Yes (dataset shape + streaming label drift)","Dataset shape/business constraints; streaming distributional drift","Single algorithm and its configuration","Yes","No (infrastructure framing, not pipeline composition)","N/A","Yes (concept-drift adaptation)","Yes (algorithm selection)","Discusses human-expert baseline (trial-and-error) as the problem being automated","N/A (framework paper)","General","Structurally closest to ADS's two-part split","Partial overlap","Medium","Independently proposes a two-phase (design-time selection + runtime adaptation) structure analogous in SHAPE to ADS-Cascade's Part 1 / Part 2 split, but the runtime phase handles concept-drift-driven retraining, not confidence-tiered human escalation.","Worth flagging: structurally analogous two-phase architecture proposed independently, even though the specific mechanisms in each phase differ substantially from ADS-Cascade's.","Problem Statement section","10.1002/int.22549"
"B2-08","Whither AutoML? Understanding the Role of Automation in Machine Learning Workflows","Xin, Wu, Lee, Chow, Parameswaran, Hellerstein","2021","CHI '21","B2","Qualitative interview study of AutoML practitioner use","N/A (empirical/qualitative HCI study)","Not the subject","N/A","N/A","No","No","No","No","No","Yes (core contribution: human-AutoML partnership argument)","N/A","General (HCI study)","human-feedback loop (conceptual)","Distant analogy","Low","Argues qualitatively/normatively for human-AutoML partnership based on user-study findings; no confidence-tiered cascade, no auto-apply/spot-check/escalate/manual-entry tiers, no historical-determinism-driven feedback loop.","Weak direct challenge but relevant prior sentiment: shows the field recognized (2021) that pure automation is insufficient and named the human-AutoML partnership problem -- the same underlying concern ADS-Cascade Part 2 addresses via a concrete mechanism, not just an HCI argument.","Abstract","10.1145/3411764.3445306"
"B2-09","Towards human-guided machine learning","Gil, Honaker, Gupta, Ma, D'Orazio, Garijo, Gadewar, Yang, Jahanshad","2019","IUI '19","B2","Task analysis / requirements paper for human-guided ML (HGML)","N/A (requirements/design paper)","Not central","N/A","N/A","No","No","No","No","No","Yes (central theme)","N/A","General (neuroscience/political-science case studies)","human-feedback loop (conceptual)","Distant analogy","Low","Proposes human-in-the-loop guidance of the AutoML search process itself (steering which hypotheses are explored), not confidence-based per-item routing/escalation at inference time; no determinism-based design-time architecture decision.","Weak -- different mechanism and different point in the ML lifecycle (guiding search vs. runtime inference routing).","Abstract","10.1145/3301275.3302324"
"B2-10","On learning algorithm selection for classification","Shawkat Ali, Kate A. Smith","2006","Applied Soft Computing, vol. 6(2)","B2","Meta-feature-driven classifier selection (Rice lineage)","Design-time","Yes (100 problems x 8 algorithms)","Dataset statistical meta-features","Single ML algorithm (not architecture class)","Yes","No","No","No","Yes","No","Learned (C5.0 rule induction over meta-features)","General","Part 1","Strong conceptual overlap","Medium","Meta-features predict best-performing classifier; this is ML-algorithm-vs-ML-algorithm selection, not a rules-vs-embedding-vs-LLM mechanism-class choice.","Establishes that 'measure dataset properties, then pick the model before deployment' is a 20+-year-old, well-established research program; ADS-Cascade's novelty claim must rest on the specific meta-feature (historical determinism) and choice space (mechanism class), not the general measure-then-select pattern.","Abstract","(medium confidence -- DOI not independently pinned down by search agent)"
"B2-11","A Literature Survey and Empirical Study of Meta-Learning for Classifier Selection","Khan, Zhang, Rehman, Ali","2020","IEEE Access, vol. 8","B2","Survey + empirical study of meta-learning for classifier selection","Design-time","Yes (historical meta-dataset of prior dataset/algorithm-performance pairs)","Statistical / information-theoretic / landmarking meta-features","Single classification algorithm (top-k ranked)","Yes","No in base form; pipeline-recommendation variants exist in cited follow-ons","No in base form","No","Yes","No","Learned (meta-learner, e.g. k-NN)","General, explicitly classification-focused (same task domain as ADS-Cascade)","Part 1 -- closest analog found outside databases","Strong conceptual overlap","High","Closest match found in the entire sweep to 'measure historical/observed evidence once, then pick an architecture before serving traffic, outside databases' -- but selects a generic ML algorithm via statistical meta-features, not a rules/embedding/LLM mechanism class via label-consistency.","MOST IMPORTANT finding for whether Part 1's general pattern is novel outside databases: it is not -- this is a 40+-year-old, well-developed ML subfield (algorithm selection problem / meta-learning), directly in ADS-Cascade's own domain (classification). ADS-Cascade's actual novelty claim must rest on the specific evidence metric (label-consistency/determinism, not generic meta-features) and the combination with Part 2's runtime cascade + human-feedback loop, not on 'use historical evidence once before deployment' as a general pattern.","Abstract; meta-features/meta-learner/meta-target framework","10.1109/ACCESS.2020.2964726"
"B3-01","Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity","Jeong, Baek, Cho, Hwang, Park","2024","NAACL 2024","B3","Query-complexity-adaptive retrieval-strategy routing","Runtime","Yes (training data for the complexity classifier, from prior QA outcomes)","Predicted query complexity (learned classifier)","Retrieval strategy (no-retrieval / single-step / multi-step)","No","Yes (3 pre-existing strategies)","Yes","Yes","No","No","Learned","General (open-domain QA)","Part 2 (contrast case)","Partial overlap","Medium","Complexity signal is a PREDICTED per-query property from a trained classifier, not an empirically observed historical label-consistency statistic; decision is purely per-query runtime routing, never a one-time whole-system architecture choice.","Closest published analog to Part 2's 'route by measured/predicted difficulty,' which weakens the novelty of runtime confidence-based routing as a general idea -- but signal source and never-auto-apply LLM constraint differ from ADS-Cascade.","Abstract; Section 3","10.18653/v1/2024.naacl-long.389"
"B3-02","FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance","Chen, Zaharia, Zou","2023 (preprint) / 2024 (journal)","Transactions on Machine Learning Research (TMLR)","B3","LLM cascade cost/accuracy optimization","Both (cascade composed design-time from historical data; applied runtime per query)","Yes (training set of query-response-quality triples)","Learned scoring function (response quality/confidence)","Which LLM(s)/order to query, then per-query stop-vs-escalate","No","Yes (cascade of LLM API calls)","Yes","Yes","Yes (cascade composition chosen once from historical data)","No","Learned","General (any LLM API task)","Part 2 -- strongest structural match found","Strong conceptual overlap","High","Cascade is composed and tuned to optimize a cost/accuracy tradeoff across LLM API calls using historical accuracy data; ADS-Cascade's cascade routes on classification/OCR confidence toward human review with a structurally distinct permanent-promotion feedback loop, and FrugalGPT never involves a human at all.","Single closest B3 hit to Part 2's structural shape (multi-tier cascade, order/composition chosen from historical training data, applied per query). Does not challenge Part 1 or the human-feedback loop, but substantially weakens any claim that 'a confidence cascade calibrated from historical accuracy data' is itself novel -- predates ADS-Cascade by ~2 years.","Section 3 ('LLM cascade')","arXiv:2305.05176"
"B3-03","Adaptive Computation Time for Recurrent Neural Networks","Alex Graves","2016","arXiv preprint","B3","Adaptive per-input compute depth in RNNs","Runtime","No (no dataset-level historical statistic; halting is a trained model parameter)","Learned per-input halting probability","How many computational steps (depth) to allocate per input","No","No","No","Yes","No","No","Learned (differentiable, trained end-to-end)","General (any RNN task)","Part 2 (foundational ancestor concept)","Distant analogy","Low","Allocates continuous compute depth within one homogeneous model via a learned internal signal; does not route between discrete heterogeneous components, uses no historical/observed label-consistency evidence, no design-time architecture-selection step, no human-in-the-loop.","Establishes 'adapt compute/behavior per input based on a per-input confidence-like signal' as a decades-old ML idea (2016); anchors terminology lineage, minimal direct challenge to either ADS-Cascade component.","Abstract; Section 2","arXiv:1603.08983"
"B3-04","Early-Exit Deep Neural Network -- A Comprehensive Survey","Rahmath P, Srivastava, Chaudhary, et al.","2024","ACM Computing Surveys","B3","Survey of early-exit DNN methods","Runtime","No","Live intermediate-layer confidence","How much of a single network's depth to execute","No","No","No (same backbone, varying depth)","Yes","Some (exit points fixed at design-time)","No","Mixed across surveyed methods","General (vision/NLP/edge inference)","Part 2 (contrast)","Distant analogy","Low","Routes within one model's own layers using live inference-time confidence; ADS-Cascade routes across a heterogeneous system using two independently-tracked confidence signals plus historical-evidence-informed routing, never using model internals as the exit signal.","Minimal direct challenge; useful as a survey anchor showing per-input adaptive-computation ideas are a mature subfield distinct from ADS-Cascade's design. NOT independently verified beyond a Consensus search snippet -- flag lower confidence on exact DOI.","Abstract","NOT independently verified -- search-snippet only, low confidence"
"B3-05","RouteLLM: Learning to Route LLMs with Preference Data","Ong, Almahairi, Wu, Chiang, Wu, Gonzalez, Kadous, Stoica","2024 (preprint) / 2025 (ICLR)","ICLR 2025","B3","Preference-trained router between weak/strong LLM","Router trained design-time; routed runtime","Yes (historical human preference/battle data, not label-consistency)","Human preference win-rate data","Which of two LLMs answers a given query","No","Yes (binary router over two LLMs)","Yes (two different-capability models)","Yes","Yes (router construction)","No (human appears only as a training-label source, never a runtime fallback)","Learned","General LLM deployment","Part 2","Partial overlap","Medium","Routing signal is trained on human preference/response-quality data (which model wins), not on empirically observed historical label-consistency for the same recurring item; no design-time whole-architecture decision, no human runtime escalation tier.","Confirms the broader LLM-routing space (also GraphRouter, RouterDC, MixLLM, IRT-Router found in the same search) is well-populated with per-query routing -- reinforces that runtime confidence/complexity-based routing is well-trodden territory.","Abstract","arXiv:2406.18665"
"B3-06","Large Language Model Cascades with Mixture of Thoughts Representations for Cost-efficient Reasoning","Yue, Zhao, Zhang, Du, Yao","2023","arXiv preprint","B3","Weak-LLM self-consistency as an escalation signal","Runtime","No (consistency computed live via repeated sampling, not from historical outcome records)","Live multi-sample answer agreement ('answer consistency')","Whether to escalate a query from a cheap to an expensive LLM","No","Yes (two-tier LLM cascade)","Yes","Yes","No","No","Empirically tuned (not gradient-learned)","General (math/causal reasoning benchmarks)","Part 2 (Tier-1 near-miss)","Strong conceptual overlap","Medium","'Answer consistency' is a live, per-query self-agreement measure (sample the same model N times right now), conceptually close to ADS-Cascade's Tier-1 'near-unanimous match' idea, but computed from live generation sampling rather than a historical record of repeated human labeling of the same item across time.","Interesting near-miss: shows 'agreement/consistency as a confidence proxy for auto-apply vs. escalate' is an established cascade-literature pattern; does not use historical determinism per se, so does not directly subsume ADS-Cascade's Tier-1 mechanism, but narrows the claimed novelty of consistency-based auto-apply.","Abstract","arXiv (moderate confidence; DOI not independently resolved)"
"B3-07","Dynamic Model Routing and Cascading for Efficient LLM Inference: A Survey","Yasmin Moslem et al.","2026","arXiv preprint","B3","Survey/taxonomy of LLM routing and cascading systems","Both (explicit taxonomy axis: 'when decisions are made')","Varies by surveyed system","Varies (difficulty, uncertainty, preference, clustering, RL signals)","Model/route selection among multiple LLMs","No","Yes","Yes (by definition of scope)","Yes","Yes (taxonomy explicitly covers both)","Not centrally addressed","Both (per surveyed method)","General (LLM-serving systems)","Part 2 (and partially Part 1, via its timing taxonomy)","Partial overlap","Low-Medium","This survey's own three-axis taxonomy ('when decisions are made, what information is used, how they are computed') is the closest published framing to ADS-Cascade's own design-time/runtime decomposition -- but applied to LLM-only routing, not a rules/ML/LLM mechanism-class decision, and not tied to a historical-determinism metric.","Weakens the claim that separating 'design-time architecture choice' from 'runtime routing' is itself a novel framing, since this is already an explicit taxonomy dimension in a 2026 survey. NOT independently verified beyond a Consensus search snippet -- flag low-medium confidence on exact author list/DOI.","Abstract (three-dimensional taxonomy)","NOT independently verified -- search-snippet only, low-medium confidence"
"B7-01","From Auto-tuning One Size Fits All to Self-designed and Learned Data-intensive Systems","Idreos, Kraska","2019","SIGMOD '19 (tutorial/survey)","B7","Vision/survey: self-designed, workload-adaptive data systems","Continuous/mixed (explicit thesis: remove the one-time human design step)","Yes (workload and data statistics)","Workload/query statistics (access frequency, patterns)","Physical data structure / storage layout / system design","No","Yes (data-structure primitives composed)","Yes","Some","Some (e.g. the Data Calculator, one-time synthesis)","No (explicit design goal: remove the DBA)","Mixed (learned cost models and rule/threshold approaches both surveyed)","Data-management systems (framed as applicable to relational, NoSQL, big-data, and broader data-science systems)","Part 1 -- strongest structural analog","Strong conceptual overlap","High","Idreos & Kraska's vision is continuous, self-adapting design driven by workload/query FREQUENCY statistics; ADS-Cascade's Part 1 is a single, one-time, pre-deployment gate driven by historical LABEL-CONSISTENCY (ground-truth agreement) -- a different evidence type and a one-shot rather than continuously-adapting decision.","Strongest available non-ML structural analog for 'measure historical evidence, then choose whole system composition' -- establishes the general pattern predates ADS-Cascade by 5+ years in databases. Does not anticipate the specific evidence type (label-consistency vs. workload frequency) or the one-time-gate-vs-continuous framing, narrowing ADS-Cascade's contribution to a specific evidence-type + one-shot-gate + non-database-classification combination.","Abstract; Section 1","10.1145/3299869.3314034"
"B7-02","Database Cracking","Idreos, Kersten, Manegold","2007","CIDR 2007","B7","Continuous incremental physical reorganization from live queries","Runtime (continuous)","Yes (session-local access history only)","Live query access patterns","Physical index structure (which key ranges get indexed)","No","No","No","Yes","No","No (explicit design goal: remove the DBA)","N/A (algorithmic, not threshold-based)","Databases (relational/column-store)","None (useful foil/contrast)","Distant analogy","Low","Opposite temporal philosophy to ADS-Cascade's one-time pre-deployment gate: cracking explicitly rejects any upfront design-time decision in favor of continuous incremental reorganization with zero pre-deployment analysis phase.","Does not challenge Part 1's mechanism, but valuable as a 'related but philosophically opposite' citation showing the database community already explored (and largely moved past) using observed evidence for structure decisions at a different temporal granularity.","Abstract","(no DOI; CIDR proceedings, cidrdb.org/cidr2007/papers/cidr07p07.pdf)"
"B7-03","The Case for Learned Index Structures","Kraska, Beutel, Chi, Dean, Polyzotis","2018","SIGMOD '18","B7","Learned model replacing a traditional index-structure component","Design-time / build-time","Yes (the full existing dataset's key distribution)","Empirical CDF of the key data","Which model/index structure replaces a specific traditional index component","Yes (component-level)","Some (hierarchy of small models, 'recursive model index')","Mildly (mixes model types within the hierarchy)","No","Yes","No","N/A (the index itself is a learned model)","Domain-specific (DB index structures), framed as generalizable","Part 1 (component-level analog)","Partial overlap","Medium","Trains a model once from the data distribution to become the index component itself -- design-time, one-time, driven by observed data, structurally similar in temporal shape to ADS-Cascade -- but the measured property is key-distribution smoothness/learnability, not label-consistency, and the decision selects a component-level model, not a whole system's architecture/composition.","Reinforces (independently of Idreos & Kraska 2019) that 'measure a data property once, then commit to an architecture/structure before serving queries' is an established, well-cited (1266 citations) pattern in ML-for-systems, predating ADS-Cascade by ~7 years -- still domain-specific to indexing, not classification-architecture selection.","Abstract; Section 3","10.1145/3183713.3196909"
"B7-04","Automatic Database Management System Tuning Through Large-scale Machine Learning (OtterTune)","Van Aken, Pavlo, Gordon, Zhang","2017","SIGMOD '17","B7","ML-recommended DBMS configuration from a historical tuning corpus","Design/configuration-time (one-shot per deployment/workload change)","Yes (corpus of prior tuning sessions across applications)","Workload/performance telemetry across many past deployments","DBMS configuration ('knob') settings, not architecture","No","No","No","No","Yes","No (explicit goal: replace DBA effort)","Learned (supervised + unsupervised ML over historical tuning corpus)","Databases (DBMS knob tuning)","Part 1 (configuration-level analog)","Partial overlap","Medium","Historical evidence is workload/performance telemetry across past deployments used to select hyperparameters, not label-consistency of individual data items used to select architecture/composition -- a strong structural cousin (measure-once-before-serving) but at the configuration-knob grain, not the 'which overall system design' grain ADS-Cascade Part 1 targets.","Shows 'mine historical records once, before serving traffic, to make a system-level decision' is a long-established (2017) pattern, though the selected artifact (knob values) is materially different in kind and grain from architecture selection.","Abstract","10.1145/3035918.3064029"
"B7-05","Towards Instance-Optimized Data Systems","Tim Kraska","2021","Proceedings of the VLDB Endowment, vol. 14(12)","B7","Vision paper: systems that self-adjust to workload/data distribution","Blurred design-time/runtime (explicitly positioned as ideally automatic at/before deployment)","Yes (the specific dataset and query workload of the deployment instance)","Data and workload distribution/characteristics","Any specializable system component (indexes, storage layouts, scheduling, compression, sketches)","No","Yes (system built from ML-optimized-per-instance components)","Potentially yes","Some","Yes (framed as the ideal)","No (explicit goal: remove tuning administrators)","Learned (ML-derived cost/behavior models)","Data systems (framed as a general 'ML for Systems' research program)","Part 1 -- meaningful challenge","Strong conceptual overlap","Medium-High","'Instance-optimized systems' is the closest named research program to ADS-Cascade's overall philosophy (use observed instance data to derive a specialized system rather than a generic one-size-fits-all one), but Kraska's vision is performance/cost specialization to workload and data distribution, not label-consistency-driven choice between qualitatively different architectures for a classification task.","Meaningful challenge to any claim of novelty in 'the general idea of measuring instance data to pick a specialized system before/at deployment' -- that is explicitly this paper's own thesis and research program (SageDB, Data Calculator, Limousine). ADS-Cascade's contribution must be argued at the level of applying this pattern outside DB-systems, to classification-architecture selection, using an interpretable label-consistency metric rather than an opaque learned cost model.","Abstract","10.14778/3476311.3476392"
"B7-06","Self-Driving Database Management Systems (Peloton)","Pavlo, Angulo, Arulraj, Lin, Lin, Ma, Menon, Mowry, Perron, Quah, et al.","2017","CIDR 2017","B7","Continuous forecasting-driven DBMS reconfiguration","Continuous/ongoing","Yes (historical workload trend data feeding forecasting models)","Workload trend forecasts","Which physical design changes (indexes, materialized views, etc.) to deploy over time","No","No","No","Some","No (continuous, explicitly not one-shot)","No (explicit goal: eliminate human DBA decision-making)","Learned (deep-learning-based workload forecasting)","Databases (DBMS internals)","None (useful contrast)","Strong conceptual overlap (as contrast)","Medium","Explicitly rejects a one-time pre-deployment gate in favor of continuous, ongoing, forecasting-driven re-optimization -- the opposite temporal structure from ADS-Cascade's stated 'ONE TIME before deployment' design-time architecture decision; also has no human-in-the-loop by design, the opposite of ADS-Cascade's explicit human-feedback mechanism.","Strengthens the case that ADS-Cascade's 'one-time gate rather than continuous adaptation' is a deliberate, defensible design choice that should be explicitly justified against this well-known alternative philosophy in the DB literature.","Abstract","(no DOI; CIDR proceedings, db.cs.cmu.edu/papers/2017/p42-pavlo-cidr17.pdf)"
"B4-01","On optimum recognition error and reject tradeoff","C.K. Chow","1970","IEEE Transactions on Information Theory, vol. 16(1)","B4","Bayes-optimal reject threshold","Runtime","No (Bayes-optimal decision-theoretic derivation, not empirically mined historical data)","Live posterior class probability","Abstain-or-not, per item","No","No","No","Yes","No","Implicit only (not modeled)","Fixed (derived analytically from the loss/cost ratio)","General (foundational statistical decision theory)","Part 2 (foundational ancestor)","Distant analogy (direct) / foundational ancestor (of the whole lineage)","Low (direct) / High (as ancestor)","Chow's rule is a single binary accept/reject threshold on live posterior probability; ADS-Cascade's T1-T4 cascade uses two independently-tracked confidence signals plus a design-time-selected architecture and a permanent feedback loop that alters future thresholds.","Establishes that 'reject when uncertain, escalate otherwise' is 55 years old and foundational, not novel; does not touch Part 1 at all.","Core result in abstract/Section 2","10.1109/TIT.1970.1054406"
"B4-02","On the Foundations of Noise-free Selective Classification","El-Yaniv, Wiener","2010","Journal of Machine Learning Research, vol. 11","B4","Risk-coverage tradeoff theory for selective classification","Both (theoretical guarantees design-time; accept/reject evaluated runtime)","No (training sample only)","Theoretical risk bound (risk-coverage curve)","Abstain-or-not","No","No (base classifier + selection function)","No","Yes","Yes (theoretical guarantees)","Not modeled explicitly","Fixed (derived from theoretical risk bounds)","General","Part 2","Strong conceptual overlap","Medium","Formalizes risk-coverage tradeoffs for a single reject threshold with theoretical guarantees; no multi-tier structure, no dual independently-tracked confidence signals, no design-time whole-architecture selection, no human-correction feedback loop.","None to Part 1. Weakens novelty of 'coverage vs. accuracy tradeoff' framing generally, since it originates the formalism used throughout the field.","Section 1 (risk-coverage curve formalism)","(JMLR, no DOI in record; jmlr.org/papers/v11/el-yaniv10a.html)"
