ID,Claim,Paper Section,Claim Type,Source Artifact,Generating Script,Supporting File Path (this repo),Reproducible In This Repo?,Confidence,Notes / Contradictions
C11,"line_amount and warehouse_id are 100% absent from the D406 schema; vat_percent missing on 4.05% of lines",§2.1; §4,Production (confidential),phase1_final_report.md §6 Data Quality Summary,03_invoice_line_extraction.py (production run),reports/phase1_final_report.md; data_verification_audit.md rows 4,8,9,No — production-only.,High,Matches data_verification_audit.md exactly.
C12,"GL extraction: 154,068 records across 201 companies",§2.1,Production (confidential),phase1_final_report.md §5,02_gl_account_extraction.py (production run),reports/phase1_final_report.md,No — production-only.,High,Consistent.
C13,"Weighted ADS 0.847 / unweighted ADS 0.964 (gap 0.117)",§2.2; §3.2 table,Production (confidential),phase1_final_report.md §7,03_5_dataset_intelligence.py (production run),reports/phase1_final_report.md; data_verification_audit.md rows 6,17,18,No — production-only. Synthetic analogue (0.809/0.931) IS reproducible — see C21.,High,Matches data_verification_audit.md exactly (0.847 and 0.964 both listed as "Confirmed correct").
C14,"R1 (Retrieval strategy): weighted ADS 0.847 & cross-co 0.695 vs thresholds ≥0.90 global / ≥0.75 hybrid → HYBRID",§2.3,Methodological + production number,phase1_final_report.md §8 Decision Matrix,04_architecture_decision.py (production run); thresholds THRESHOLD_ADS_GLOBAL=0.90 / THRESHOLD_ADS_HYBRID=0.75 / THRESHOLD_CROSS_CO_GLOBAL=0.85 confirmed live in script,reports/phase1_final_report.md; scripts/04_architecture_decision.py lines 43-45,"Decision logic is reproducible (script is public, unmodified, deterministic); production inputs are not. Synthetic run reproduces the same HYBRID call — see C22.",High,Threshold constants in the current script match what both TECHNICAL_REPORT.md and phase1_final_report.md describe.
C15,"R3 (Model complexity): 91.2% deterministic ≥ 90% threshold → RULES_FIRST",§2.3; §3.2; §3.3,Methodological + production number,phase1_final_report.md §8,04_architecture_decision.py (production run); THRESHOLD_DETERMINISTIC_RULES=0.90 confirmed live in script,reports/phase1_final_report.md; scripts/04_architecture_decision.py line 48,"Decision logic reproducible; production input (91.2%) is not. Synthetic run flips to EMBEDDING_PRIMARY — this is the report's own headline finding (§3.3), not a bug.",High,"TECHNICAL_REPORT.md §2.3 describes only the ≥90% cutoff; the live script actually encodes a 3-way decision (THRESHOLD_DETERMINISTIC_RULES=0.90 → RULES_FIRST, THRESHOLD_DETERMINISTIC_EMBED=0.70 → EMBEDDING_PRIMARY in between, else a third un-named branch below 70%). The paper never states the <90% branch is specifically EMBEDDING_PRIMARY or that a third band exists below 70% — see Audit finding A4."
C16,"R4 (VAT role): 94.5% single-rate-stable vs thresholds ≥95% primary / ≥70% secondary → SECONDARY_FEATURE",§2.3,Methodological + production number,phase1_final_report.md §8,04_architecture_decision.py (production run); THRESHOLD_VAT_DISCRIMINATOR=0.95 / THRESHOLD_VAT_SECONDARY=0.70 confirmed live in script,reports/phase1_final_report.md; scripts/04_architecture_decision.py lines 52-53,"Decision logic reproducible; production input (94.5%) is not. Synthetic run reproduces SECONDARY_FEATURE — see C22.",High,Consistent.
C17,"R5 (Warehouse): 100% missing ≥ 90% threshold → DROP",§2.3,Methodological + production number,phase1_final_report.md §6 & §8,04_architecture_decision.py (production run); THRESHOLD_WAREHOUSE_DROP=0.90 confirmed live in script,reports/phase1_final_report.md; scripts/04_architecture_decision.py line 56,"Decision logic reproducible; production input (100%) is not, though warehouse-missingness is also 100% in the synthetic run — see C22.",High,Consistent.
C18,"Four-tier cascade trigger definitions: T1 ADS≥0.95 & evidence≥3 (or fresh correction, or global≥0.98 with ≥5 companies); T2 similarity≥0.85 or 0.80-0.95 ADS+VAT; T3 <0.85 or LLM-consulted; T4 <0.50",§2.4; architecture/08_CONFIDENCE_CASCADE.md,Methodological (code-level spec),architecture/08_CONFIDENCE_CASCADE.md §3; ADR-016,scripts/phase2/p2lib/confidence.py; scripts/phase2/p2lib/cascade.py,scripts/phase2/p2lib/confidence.py lines 7-22,"Yes — fully reproducible. Constants directly verified in scripts/phase2/p2lib/confidence.py: T1_ADS=0.95, T1_MIN_EVIDENCE=3, T1_GLOBAL_ADS=0.98, GLOBAL_MIN_COMPANIES=5, T2_SIM=85 (i.e. 0.85 on rapidfuzz's 0-100 scale), T3_FLOOR=0.50.",High,Exact match between the architecture doc's written spec and the running code's named constants.
C19,"LLM re-ranking on the 10-receipt trace changed behavior from one generic account to correct distinctions: fuel→6022, discounts→609, tobacco→371, road tax→628",§2.4,Production (confidential) — qualitative,STATE.md ""LLM tail (Groq live, grounded)"" entry,p2_06_llm_tail.py (production run, uses real Groq API calls on real receipts),STATE.md,"No — production-only (real receipts, live LLM calls against production KB).",Medium,Qualitative/illustrative claim about behavior change, not a headline metric; consistent with STATE.md's own account of the same run.
C20,"Company-scoped fuzzy retrieval (rapidfuzz WRatio); AWS Textract AnalyzeExpense OCR, cached, $0 after first call; VAT bracket letters read directly from OCR output",§2.5,Methodological (code-level),architecture/09_AI_ORCHESTRATION.md; ADR-010,scripts/phase2/p2lib/retrieval.py; scripts/phase2/p2_03_extract.py,scripts/phase2/p2lib/retrieval.py; data/outputs/phase2/textract_raw/*.json,"Yes — the code path and caching mechanism are reproducible and inspectable. p2_03_extract.py is idempotent and the cached Textract JSON for the 5 synthetic receipts is committed, so a re-run costs $0 and calls no API.",High,Confirmed: 5 synthetic Textract fixture files exist at data/outputs/phase2/textract_raw/synth-receipt-01..05.analyze_expense.json.
C21,"Synthetic run: 60 companies / 7,523 invoice lines; weighted/unweighted ADS 0.809/0.931; VAT missing 4.45%; purchase/sale split 73.5%/26.5%",§3.2 table; METHODOLOGY.md,Synthetic (this repo),00_generate_synthetic.py output + 03_5_dataset_intelligence.py output,scripts/00_generate_synthetic.py; scripts/03_5_dataset_intelligence.py,data/outputs/invoice_lines_all_companies.csv (7,524 lines incl. header = 7,523 data rows); data/outputs/intelligence/dataset_statistics.csv; reports/architecture_decision.md header (weighted 0.8094 / unweighted 0.9310); data/outputs/intelligence/data_quality_report.csv (vat_percent 4.45% missing),"Yes — independently verified against currently-committed CSVs during this audit: invoice_lines_all_companies.csv row count matches 7,523; reports/architecture_decision.md header states ADS weighted 0.8094 / unweighted 0.9310 (rounds to 0.809/0.931); data_quality_report.csv confirms vat_percent 4.45% missing.",High,All checked figures match exactly.
C22,"Synthetic R1/R4/R5 reproduce production decisions (HYBRID / SECONDARY_FEATURE / DROP); R3 flips to EMBEDDING_PRIMARY at 84.1% deterministic (<90% threshold)",§3.2 table; §3.3,Synthetic (this repo),04_architecture_decision.py output,scripts/04_architecture_decision.py,data/outputs/intelligence/decision_matrix.csv; reports/architecture_decision.md,"Yes — verified directly against data/outputs/intelligence/decision_matrix.csv, which currently records exactly: R1→HYBRID (ADS 0.8094≥0.75, cross-co 0.7632<0.85), R3→EMBEDDING_PRIMARY (84.12%<90%), R4→SECONDARY_FEATURE (74.94%≥70%), R5→DROP (100%≥90%).",High,Exact match. The R3 flip is a real, currently-reproducible property of the committed synthetic data, not a stale or cherry-picked claim.
C23,"Synthetic cascade auto-apply: 99.8% accuracy at 76.2% coverage (held-out)",§3.2 table; METHODOLOGY.md,Synthetic (this repo),p2_02_classify_eval.py output,scripts/phase2/p2_02_classify_eval.py,data/outputs/phase2/tier_distribution.csv,"Yes — recomputed by hand from the committed CSV during this audit: T1 1,223 (75.7%, acc 0.9975) + T2 9 (0.6%, acc 1.0) = 1,232/1,616 lines = 76.24% coverage at weighted accuracy ≈99.76%, which rounds to the reported ""99.8% @ 76.2%.""",High,Independently recomputed and matches within rounding.
C24,"Synthetic cross-company consistency 0.763 (as cited in the report/METHODOLOGY table)",§3.2 table; METHODOLOGY.md,Synthetic (this repo),03_5_dataset_intelligence.py / 04_architecture_decision.py output,scripts/03_5_dataset_intelligence.py,data/outputs/intelligence/decision_matrix.csv (0.7632); reports/architecture_decision.md (0.7632),"Yes for the number actually cited in the paper (0.7632 rounds to 0.763), but a DIFFERENT, currently-committed file disagrees under a similarly-named label — see Notes.",Medium,"data/outputs/intelligence/dataset_intelligence_report.md (also currently committed, also regenerated by the same pipeline) states ""Global Cross-Company Determinism: 0.7756"" — a different value under a near-identical name to ""cross-company consistency"" (0.7632) used in decision_matrix.csv / reports/architecture_decision.md / TECHNICAL_REPORT.md / METHODOLOGY.md. This reproduces, in the currently-public synthetic branch, the exact same same-name-different-value pattern that data_verification_audit.md already flagged for the production numbers (0.7454 vs 0.695). See Audit finding A3."
C25,"Synthetic ""Average Company Determinism: 0.9746"" (dataset_intelligence_report.md)",Not cited in TECHNICAL_REPORT.md,Synthetic (this repo) — orphan metric,03_5_dataset_intelligence.py output,scripts/03_5_dataset_intelligence.py,data/outputs/intelligence/dataset_intelligence_report.md,"Yes, the number itself is present in a committed file, but it is not referenced anywhere in TECHNICAL_REPORT.md or METHODOLOGY.md.",Low,"This is a third, distinctly-computed ""determinism"" figure (0.9746) that does not match ""unweighted ADS 0.931,"" the number the paper actually cites. Not a contradiction of a stated claim (the paper never cites 0.9746), but it sits in a public file under a name generic enough to be confused with a cited metric. See Audit finding A3."
C26,"Synthetic run uses a single seed (random.seed(42)); figures are not swept for confidence intervals",§4 Limitations; METHODOLOGY.md,Methodological — self-flagged limitation,scripts/00_generate_synthetic.py,scripts/00_generate_synthetic.py,scripts/00_generate_synthetic.py,"Yes — seed is set in the script and the limitation is explicitly and correctly disclosed by the report itself, not glossed over.",High,No issue found; report is accurate about its own scope here.
C27,"Product catalog size comparison: 844 unique synthetic products vs 47,306 real, explaining synthetic cascade's higher coverage/accuracy as an artifact of scale",§3.2,Mixed (synthetic number + production number, both cited correctly),kb_summary.json (synthetic) + phase1_final_report.md §6 (production),00_generate_synthetic.py (synthetic) / 03_invoice_line_extraction.py (production),data/outputs/phase2/kb/kb_summary.json (global_products: 844); reports/phase1_final_report.md (47,306),"Synthetic half (844) is directly reproducible and verified against kb_summary.json; production half (47,306) is cited, not reproducible.",High,Consistent; the report is explicit that this is an explanation, not a celebration, of the higher synthetic coverage.
C28,"All 16 architecture decision records (ADR-001 through ADR-016) are public and specify the design",Reproducibility section; README.md folder map,Methodological / documentation claim,architecture/DECISIONS.md,n/a (design document, not code),architecture/DECISIONS.md,"Yes — all 16 ADRs are present and, per this audit, all 17 architecture/ docs (00_SCOPE.md through 14_COST_MODEL.md, plus DECISIONS.md and OPEN_QUESTIONS.md) are tracked in git as of the initial commit (81fb74e, 2026-07-28), confirmed via `git ls-files architecture/`.",High,"Directly contradicts STATE.md's ""Phase 2 — Solution Architecture... Written but untracked in git"" line and ROADMAP.md's Phase A task to ""decide the fate of the 17 untracked architecture/ docs."" They are not untracked — see Audit finding A1."
C29,"Reproducibility script list (00_generate_synthetic.py → 03_5 → 04 → p2_01 → p2_02 → p2_05) runs offline, no API keys, no client data, no cost",Reproducibility section,Methodological claim,n/a,All six listed scripts,scripts/00_generate_synthetic.py; scripts/03_5_dataset_intelligence.py; scripts/04_architecture_decision.py; scripts/phase2/p2_01_build_kb.py; scripts/phase2/p2_02_classify_eval.py; scripts/phase2/p2_05_end_to_end.py,"Yes — this audit did not execute the pipeline end-to-end (audit-only, no source files or runs were modified), but confirmed every listed script and every output file it claims to produce exists in the committed tree, and that p2_03/p2_06 (the only network-touching scripts) are correctly excluded from this list.",Medium,"Confidence is Medium rather than High only because this audit read artifacts rather than re-executing the pipeline top-to-bottom; a Phase A/H follow-up should do one live re-run to convert this to High."
