Claim ID,Paper Section,Exact Claim,Value,Metric Definition,Source Artifact,Generating Script,Canonical?,Reproducible?,Production/Synthetic,Status,Notes
F11,§2.2,91.2% of products clear the ADS > 0.95 'deterministic' bar; only 1.1% are genuinely ambiguous (ADS < 0.50),91.2% / 1.1%,Product-count fraction,reports/phase1_final_report.md §7,03_5_dataset_intelligence.py (production run),Yes,No,Production,MATCH,Repeat of F02. Same caveat as F10 applies (unverified re: A5).
F12,§2.3 table,"R1: weighted ADS 0.847, cross-company consistency 0.695, thresholds >=0.90 global / >=0.75 hybrid -> HYBRID",0.847 / 0.695 / HYBRID,Decision-matrix row,reports/phase1_final_report.md §8,04_architecture_decision.py (production run),Yes,Decision logic yes; inputs no,Production,MATCH,Threshold constants (0.90/0.75/0.85) independently re-verified live in scripts/04_architecture_decision.py this pass. Same as C14.
F13,§2.3 table,"R3: deterministic products 91.2%, threshold >=90% -> RULES_FIRST",91.2% / RULES_FIRST,Decision-matrix row,reports/phase1_final_report.md §8,04_architecture_decision.py (production run),Yes,Decision logic yes; inputs no,Production,MATCH but INCOMPLETE DESCRIPTION,"Value matches. Description is incomplete, not wrong: the manuscript states only the >=90% cutoff and omits the live code's second band (EMBEDDING_PRIMARY, 0.70-0.90) and third band (LLM_REQUIRED, <0.70) - already documented as finding A4 / research/r3_threshold_analysis.md. Carried into MANUSCRIPT_UPDATE_QUEUE.md as an INTERPRETATION UPDATE, not new in this pass."
F14,§2.3 table,"R4: single-rate-stable products 94.5%, thresholds >=95% primary / >=70% secondary -> SECONDARY_FEATURE",94.5% / SECONDARY_FEATURE,Decision-matrix row,reports/phase1_final_report.md §8,04_architecture_decision.py (production run),Yes,Decision logic yes; inputs no,Production,MATCH,Same as C16.
F15,§2.3 table,"R5: missingness 100.0%, threshold >=90% -> DROP",100.0% / DROP,Decision-matrix row,reports/phase1_final_report.md §6 & §8,04_architecture_decision.py (production run),Yes,Decision logic yes; inputs no,Production,MATCH,Same as C17.
F16,§2.3,"Cross-company consistency (0.695, measured over 2,696 products booked by more than one company)","0.695 / 2,696 products","Cross-company consistency score, multi-company product count",reports/phase1_final_report.md §7,03_5_dataset_intelligence.py (production run),Yes,No,Production,MATCH,"2,696 independently re-verified against phase1_final_report.md §7 'Multi-company products analyzed' row this pass."
F17,§2.3,the same product is legitimately booked to different accounts... often enough (about 30% of the time on shared products),~30%,1 - cross-company consistency (1-0.695=0.305),Derived from F16,n/a (prose rounding),Yes,No,Production,ROUNDING ONLY,Arithmetically consistent restatement of 0.695.
F18,§2.4,"T1: Company rule ADS >= 0.95, evidence >= 3 (or... a near-unanimous global pattern with >=5 companies agreeing)",0.95 / 3 / (0.98) / 5,Cascade tier-1 trigger constants,scripts/phase2/p2lib/confidence.py; architecture/08_CONFIDENCE_CASCADE.md §3,scripts/phase2/p2lib/confidence.py (constants; not a data pipeline),Yes,Yes -- code inspected directly,Methodological (code),MATCH,"T1_ADS=0.95, T1_MIN_EVIDENCE=3, T1_GLOBAL_ADS=0.98, GLOBAL_MIN_COMPANIES=5 all independently re-verified live in confidence.py this pass. The 0.98 global-ADS value itself is not stated numerically in the manuscript prose (only 'near-unanimous'), which is imprecise but not wrong."
F19,§2.4,"T2: Fuzzy/embedding match (similarity >= 0.85) or a weaker company rule (0.80-0.95 ADS) corroborated by VAT | Auto-apply, flagged for a sampled spot-check",0.85 / 0.80-0.95 / auto-apply,Cascade tier-2 trigger + behavior,scripts/phase2/p2lib/confidence.py + cascade.py,scripts/phase2/p2lib/cascade.py,No,Yes -- code inspected directly; behavior contradicts manuscript,Methodological (code),STALE -- NEW FINDING (not in original claim_evidence_matrix),"Independently discovered in this pass. Actual code: T2_ADS_LOW=0.90 (not 0.80) for the company-rule mid-tier path. More importantly, FUZZY_AUTO_APPLY=False is a hardcoded constant in confidence.py -- the entire fuzzy-similarity auto-apply branch in cascade.py (the 'if C.FUZZY_AUTO_APPLY:' block) is dead code; every fuzzy match currently falls through to Tier 3 (FUZZY_REVIEW), never Tier 2, regardless of similarity score. Code comments explain why: Stage-A held-out eval measured ads>=0.80 low-evidence rules at ~45% accuracy and fuzzy auto-apply at ~49% -- both judged unsafe, so the implementation was tightened after the original design (architecture/08_CONFIDENCE_CASCADE.md, which states the SAME 0.80/fuzzy-auto-apply spec the manuscript does) was written. STATE.md's own Phase 2 notes already record this recalibration ('fuzzy is demoted to review (never auto-applied)') but it was never back-ported into TECHNICAL_REPORT.md §2.4 or architecture/08. The original claim_evidence_matrix.csv row C18 states 'Exact match between the architecture doc's written spec and the running code's named constants' -- that verification only checked T1_ADS/T1_MIN_EVIDENCE/T1_GLOBAL_ADS/GLOBAL_MIN_COMPANIES/T2_SIM/T3_FLOOR and did not check T2_ADS_LOW, T2_MIN_EVIDENCE, T2_GLOBAL_ADS_LOW, or FUZZY_AUTO_APPLY, and did not cross-reference cascade.py's actual tier-assignment logic -- so C18's 'exact match' claim is itself incomplete/incorrect for T2."
F20,§2.4,"T3: Similarity < 0.85, candidates disagree, or an LLM was consulted | Routed to human review",<0.85,Cascade tier-3 trigger,scripts/phase2/p2lib/cascade.py,scripts/phase2/p2lib/cascade.py,No,Yes -- code inspected; description now incomplete as a consequence of F19,Methodological (code),STALE (consequence of F19),"As literally written, this implies similarity >=0.85 does NOT go to T3 (i.e. goes to T2 instead). Because FUZZY_AUTO_APPLY=False (see F19), similarity >=0.85 fuzzy matches DO currently land at T3 (FUZZY_REVIEW) -- so in the current code T3's actual fuzzy-related trigger is simply 'any fuzzy match' full stop, not 'similarity <0.85.' Same underlying finding as F19, listed separately because it is a distinct manuscript sentence."
F21,§2.4,T4: No candidate above the review floor (0.50) | Manual entry,0.50,Cascade tier-4 floor,scripts/phase2/p2lib/confidence.py,scripts/phase2/p2lib/confidence.py,Yes,Yes -- code inspected directly,Methodological (code),MATCH,T3_FLOOR=0.50 independently re-verified live this pass.
F22,§2.4,"changed the LLM's behavior... correctly distinguishing fuel (->6022), discounts (->609), tobacco (->371), and road tax (->628)",6022 / 609 / 371 / 628,Qualitative account-code examples,"STATE.md 'LLM tail (Groq live, grounded)' entry",p2_06_llm_tail.py (production run),No -- production-only; qualitative,No,Production,MATCH (qualitative),"STATE.md's own account uses slightly different product labels ('cigarettes'/'parking, rovinieta') for the same account codes (371/628) -- same underlying facts, different wording, not a numeric discrepancy. Same as C19."
F23,§3.1,"held-out 80/20 split of the classification cascade over 63,048 test lines","63,048 / 80/20",Held-out eval test-set size,STATE.md Phase 2 section,p2_02_classify_eval.py (production run),No -- cannot verify base population,No,Production,UNRESOLVED (minor),"NEW finding this pass: 63,048 as a 20% test split implies a base population of 315,240 (63,048 / 0.2), which does not match any total cited elsewhere in this repository (296,648 total invoice lines, or any other stated denominator). Cannot be reconciled from artifacts available in this repository -- the eval's exact input population is production-only and not documented at that level of detail here. Not proven wrong, just untraceable to a specific denominator from this repo alone."
F24,§3.1,"before the retrieval bridge, 0 lines auto-applied, 8 landed in Tier 3, 14 in Tier 4... 14 of those 22 lines to Tier 3... only 2 lines remained genuinely novel","0/8/14 -> 14 gain candidate, 2 novel",10-receipt cold-start trace,STATE.md Phase 2 section,"p2_05_end_to_end.py (production run, 10 real receipts)",No -- production-only,No,Production,MATCH,Same as C07.
F25,§3.1,overall 66.7% raw held-out accuracy... roughly a third of test lines are cold,66.7% / ~1/3,Held-out accuracy + cold-start fraction,STATE.md Phase 2 section,p2_02_classify_eval.py (production run),No -- production-only,No,Production,ROUNDING ONLY,STATE.md states the cold fraction precisely as 36%; paper says 'roughly a third' (33.3%). A slightly generous rounding of 36% but within normal prose tolerance. Same as C06.
F26,§3.2 table,"Companies / invoice lines: 169 / 296,648 (production) vs 60 / 7,523 (synthetic)",169/296648 vs 60/7523,Row/company counts,phase1_final_report.md §1 (prod); dataset_statistics.csv (synth),n/a (prod) / 00_generate_synthetic.py (synth),Yes both,Synthetic yes; production no,Both,MATCH,Same as C01/C21.
F27,§3.2 table,Weighted / unweighted ADS: 0.847 / 0.964 (production) vs 0.809 / 0.931 (synthetic),0.847/0.964 vs 0.809/0.931,ADS aggregates,"phase1_final_report.md §7 (prod); reports/architecture_decision.md (synth, pre-fix)",03_5_dataset_intelligence.py + 04_architecture_decision.py,Production value yes (with Note-1 caveat); SYNTHETIC VALUE NO,"Synthetic yes (reproducible, but wrong); production no",Both,STALE (synthetic),"Synthetic figures are SUPERSEDED -- DO NOT CITE per EVIDENCE_BASELINE.md. Canonical post-A5-fix synthetic values are 0.9031 / 0.9597 (research/a5_correction_analysis.md). Production values unaffected by this fix's scope; unverified re: same bug, see F10. Carried into MANUSCRIPT_UPDATE_QUEUE.md as a NUMERIC UPDATE."
F28,§3.2 table,Products >0.95 deterministic: 91.2% (production) vs 84.1% (synthetic),91.2% vs 84.1%,Product-count fraction ADS>0.95,"phase1_final_report.md §7 (prod); decision_matrix.csv (synth, pre-fix)",03_5_dataset_intelligence.py,Production yes (Note-1 caveat); SYNTHETIC NO,"Synthetic yes (reproducible, but wrong); production no",Both,STALE (synthetic),Canonical post-fix synthetic value is 87.56% (739/844). NUMERIC UPDATE in MANUSCRIPT_UPDATE_QUEUE.md.
F29,§3.2 table,Cross-company consistency: 0.695 (production) vs 0.763 (synthetic),0.695 vs 0.763,Cross-company consistency score,phase1_final_report.md §7 (prod); decision_matrix.csv R1 row (synth),03_5_dataset_intelligence.py,Yes both,Synthetic yes; production no,Both,MATCH,"Confirmed unaffected by the A5 fix -- re-verified byte-identical against currently-committed decision_matrix.csv (0.7632, rounds to 0.763) this pass. Same as C24 for the value that IS cited; see F30 for the orphan metric under a similar name."
F30,n/a -- not cited in TECHNICAL_REPORT.md,'Global Cross-Company Determinism: 0.7756' and 'Average Company Determinism: 0.9746' (dataset_intelligence_report.md); 'pct_deterministic_gt_0.95: 96.4' on a 1130/1172 company_product_rules basis (kb_summary.json),0.7756 / 0.9746 / 96.4%,Differently-aggregated determinism metrics not used in the reproduction chain,data/outputs/intelligence/dataset_intelligence_report.md; data/outputs/phase2/kb/kb_summary.json,03_5_dataset_intelligence.py / p2_01_build_kb.py,"No -- not canonical, not cited by the manuscript",Yes (both files are committed and reproducible),Synthetic,ORPHAN METRICS -- not manuscript claims,"0.7756/0.9746 already flagged in EVIDENCE_BASELINE.md §3 (not canonical). The kb_summary.json 96.4% figure is a NEW finding this pass -- a THIRD, differently-defined 'deterministic %' (1130/1172 company-product RULES, not 739/844 distinct GLOBAL PRODUCTS) sitting in a public committed artifact. Not cited in TECHNICAL_REPORT.md, so no manuscript action needed, but EVIDENCE_BASELINE.md's not-canonical table did not previously list it -- recommend adding it there for completeness (see PHASE_A_CLOSURE.md)."
F31,§3.2 table,Purchase / sale split: 73.9% / 26.1% (production) vs 73.5% / 26.5% (synthetic),73.9/26.1 vs 73.5/26.5,Purchase/sale share,"phase1_final_report.md §1 Executive Summary (prod, INVOICE-level); dataset_statistics.csv (synth, LINE-level)",00_generate_synthetic.py,Production value is invoice-level not line-level; synthetic value is line-level,Synthetic yes; production no,Both,DIFFERENT DEFINITION -- NEW FINDING,"The production figure cited (73.9%/26.1%) is computed over INVOICES (79,616/28,127 per phase1_final_report.md §1's Executive Summary table), while the synthetic figure (73.5%/26.5%, verified against dataset_statistics.csv: 5533 purchase / 1990 sale lines = 7523) is computed over LINES. The true line-level production split, also stated in the same source document (phase1_final_report.md §1 'Transaction Direction' table), is 73.7%/26.3% -- closer to, but still not identical to, the synthetic figure. The table row compares two different units without noting it. Values are close enough (~0.2pp) that this is a minor/cosmetic issue, not a material error, but it is a genuine unit mismatch."
F32,§3.2 table,VAT missing: 4.05% (production) vs 4.45% (synthetic),4.05% vs 4.45%,Field missingness,phase1_final_report.md §6 (prod); data_quality_report.csv (synth),00_generate_synthetic.py,Yes both,Synthetic yes; production no,Both,MATCH,Same as C11/C21.
F33,§3.2 table,R1 -- Retrieval strategy: HYBRID (production) vs HYBRID (checked) (synthetic),HYBRID vs HYBRID,Architecture decision,phase1_final_report.md §8 (prod); decision_matrix.csv (synth),04_architecture_decision.py,Yes both,Synthetic yes; production no,Both,MATCH,Re-confirmed post-A5-fix this session: decision unchanged even though the underlying weighted-ADS sub-metric moved to 0.9031. Same as C22.
F34,§3.2 table,R3 -- Model complexity: RULES_FIRST (91.2% >= 90%) (production) vs EMBEDDING_PRIMARY (84.1% < 90%) (synthetic),RULES_FIRST vs EMBEDDING_PRIMARY (84.1%),Architecture decision + cited percentage,"phase1_final_report.md §8 (prod); decision_matrix.csv (synth, pre-fix)",04_architecture_decision.py,Decision labels yes; SYNTHETIC PERCENTAGE NO,"Synthetic yes (reproducible, but percentage wrong); production no",Both,STALE (synthetic percentage only),"Decision (EMBEDDING_PRIMARY) is correct and unchanged post-fix. Cited percentage (84.1%) is SUPERSEDED -- canonical is 87.56% (still <90%, same decision, narrower margin). NUMERIC UPDATE in MANUSCRIPT_UPDATE_QUEUE.md."
F35,§3.2 table,R4 -- VAT strategy: SECONDARY_FEATURE (production) vs SECONDARY_FEATURE (checked) (synthetic),SECONDARY_FEATURE vs SECONDARY_FEATURE,Architecture decision,phase1_final_report.md §8 (prod); decision_matrix.csv (synth),04_architecture_decision.py,Yes both,Synthetic yes; production no,Both,MATCH,Same as C22.
F36,§3.2 table,R5 -- Warehouse: DROP (production) vs DROP (checked) (synthetic),DROP vs DROP,Architecture decision,phase1_final_report.md §8 (prod); decision_matrix.csv (synth),04_architecture_decision.py,Yes both,Synthetic yes; production no,Both,MATCH,Same as C22.
F37,§3.2 table,Cascade auto-apply (held-out): 98.1% @ 42.8% coverage (production) vs 99.8% @ 76.2% coverage (synthetic),98.1%@42.8% vs 99.8%@76.2%,Held-out cascade accuracy/coverage,STATE.md (prod); tier_distribution.csv (synth),p2_02_classify_eval.py,Yes both,Synthetic yes (hand-recomputed this pass: (1223+9)/1616=76.24% weighted acc ~99.76%); production no,Both,MATCH,"Independently re-verified this pass against the currently-committed tier_distribution.csv (1,1223,75.7,0.9975 / 2,9,0.6,1.0 / 3,379,23.5,0.6649 / 4,5,0.3,0.0). Confirmed unaffected by A5 -- Phase 2's KB/cascade build from raw invoice lines directly (kb.py), not from product_ambiguity.csv. Same as C23."
F38,§3.2,"a smaller catalog (844 vs. 47,306 unique products)","844 vs 47,306",Product-catalog size comparison,kb_summary.json (synth); phase1_final_report.md §6 (prod),00_generate_synthetic.py / 03_invoice_line_extraction.py,Yes both,Synthetic yes; production no,Both,MATCH,Same as C27.
F39,§3.3,"R3 flips between runs (RULES_FIRST at 91.2%, EMBEDDING_PRIMARY at 84.1%)",91.2% / 84.1%,Repeat of F34,Same as F34,Same as F34,Production yes; SYNTHETIC NO,Same as F34,Both,STALE (synthetic),Same underlying finding as F28/F34 restated in prose. NUMERIC UPDATE (single change fixes F28/F34/F39 together -- all cite the same stale 84.1%).
F40,§3.3,the production figure itself sits only about one point above the 90% threshold,~1.2 points,91.2% - 90% = 1.2,Derived from F13,n/a (prose),Yes,No,Production,MATCH/ROUNDING,Unaffected by A5 (production side).
F41,§4,"the specific threshold values in §2.3 (90% for RULES_FIRST, 0.75/0.90 for retrieval strategy)",90% / 0.75 / 0.90,Repeat of threshold constants,scripts/04_architecture_decision.py,scripts/04_architecture_decision.py,Yes,Yes -- code inspected,Methodological (code),MATCH,Independently re-verified live this pass.
F42,§4,"Cross-company consistency has a real, measured ceiling (0.695 in production; 0.76-0.80 across synthetic seeds)",0.695 / 0.76-0.80,Cross-company consistency across multiple seeds,NONE FOUND,NONE FOUND,No,No,Synthetic (claimed range) / Production,UNSUPPORTED -- NEW FINDING,"Repo-wide search (grep -rn '0.76.*0.80|multiple seeds|across.*seeds') found this exact phrase ONLY in TECHNICAL_REPORT.md itself -- no multi-seed sweep, script, or output file exists anywhere in this repository that produces a range of cross-company-consistency values. Only a single seed=42 run has ever been executed here, producing exactly 0.7632 (not a range). This directly contradicts the SAME section's own later bullet (F43): 'Single-seed synthetic run... was not swept to produce confidence intervals.' This is an internal self-contradiction within §4 of the manuscript, not just an unverifiable claim. Flagged as the highest-priority new finding in this pass alongside F19."
F43,§4,Single-seed synthetic run. The synthetic table in §3.2 is one random.seed(42) run... was not swept to produce confidence intervals,seed=42; not swept,Self-disclosed limitation,scripts/00_generate_synthetic.py,scripts/00_generate_synthetic.py,Yes,Yes -- code inspected,Methodological,MATCH,This statement is TRUE and is what makes F42's 'across synthetic seeds' range claim internally inconsistent with this same section.
F44,§6 Conclusion,"91.2% of products in this dataset already have one dominant, historically-consistent answer",91.2%,Repeat of F02/F11,Same as F02,Same as F02,Production yes (Note-1 caveat),No,Production,MATCH,Repeat.
F45,§6 Conclusion,the LLM's job shrinks to re-ranking retrieved candidates for a measured minority tail (under 10% of production volume),<10%,Claimed as a VOLUME (occurrence-weighted) share of LLM-touched lines,NONE FOUND,NONE FOUND,No,No,Production (claimed),UNSUPPORTED -- NEW FINDING,"Repo-wide search found this exact phrase ONLY in TECHNICAL_REPORT.md §6 -- no artifact, script output, or cited document anywhere in this repository states an LLM-share-of-volume figure. The closest actual number is 100%-91.2%=8.8% non-deterministic PRODUCTS (a product-COUNT statistic, not a volume/occurrence-weighted statistic). Given §2.2's own point that weighted and unweighted figures differ substantially in this dataset (0.847 vs 0.964, a product-count vs occurrence-weighted gap of 0.117), asserting an occurrence-weighted 'volume' share without a distinct weighted computation is exactly the kind of conflation the paper itself warns against. Not proven numerically wrong (no artifact exists to check it against) -- flagged as UNSUPPORTED, not FALSE."
F46,§6 Conclusion,"The same pipeline, re-run on synthetic data... independently recovers four of five architecture decisions",4 of 5,Repeat/summary of §3.2 table,Same as F33-F37,Same as F33-F37,Yes,Yes,Both,MATCH,"Consistent count (R1/R4/R5 match + R3 flips = 4-of-5 reproduce, R3 doesn't)."
F47,Reproducibility,python scripts/00_generate_synthetic.py / 03_5_dataset_intelligence.py / 04_architecture_decision.py / p2_01_build_kb.py / p2_02_classify_eval.py / p2_05_end_to_end.py,6 scripts,Reproduction script list,n/a,All six listed scripts,Yes,Yes -- all six re-executed in this pass' predecessor sessions (03_5/04) and file-existence verified for the rest,Methodological,MATCH,"Same as C29, now with 03_5/04 having been actually re-executed (not just read) as part of the A5 fix in the prior session -- Confidence upgraded from Medium to High for those two scripts specifically."
