Path,Type,Tracked in Git?,Produced By / Role,Consumed By,Confidentiality,Notes
reports/phase1_final_report.md,Internal report (public export),Yes,03_5_dataset_intelligence.py + 04_architecture_decision.py (production run),data_verification_audit.md; TECHNICAL_REPORT.md §2/§3.1 (cited),Public (aggregate stats only; production run),Primary source for nearly every production number in the paper — read in full for this audit.
reports/architecture_decision.md,Generated report (synthetic, this repo),Yes,scripts/04_architecture_decision.py (synthetic run),TECHNICAL_REPORT.md §3.2 (verification target),Public,Read in full. Header/decision-matrix numbers verified against data/outputs/intelligence/decision_matrix.csv — match.
reports/phase1_report.js,Generated artifact,Yes,Unknown (likely demo/report tooling),Unknown,Public,Not opened in this audit; flagged for completeness.
scripts/00_generate_synthetic.py,Script,Yes,Author,"Generates all synthetic Phase 1 outputs (data/outputs/*.csv), replaces scripts 01-03 for this branch",03_5_dataset_intelligence.py; 04_architecture_decision.py; phase2 scripts,Public,Central to reproducibility claims (C21).
scripts/01_build_inventory.py,Script,Yes,Author,"Company inventory (production only — does not run on synthetic branch, per METHODOLOGY.md)",02/03 (production),Public,Present as source per METHODOLOGY.md item; not executable on this branch (no real D406 input).
scripts/01_5_xml_normalization.py,Script,Yes,Author,XML download/extract/validate (production only),02/03 (production),Public,Same as above.
scripts/02_gl_account_extraction.py,Script,Yes,Author,GL chart extraction (production only),03.5 (production),Public,Same as above.
scripts/03_invoice_line_extraction.py,Script,Yes,Author,Invoice line extraction (production only),03.5 (production),Public,"Same as above; TECHNICAL_REPORT §2.1's stage table names this stage ""Invoice line extraction"" without giving the filename — see Audit finding A6."
scripts/03_5_dataset_intelligence.py,Script,Yes,Author,"Computes ADS, cross-company consistency, VAT stability — runs on both production and synthetic input",04_architecture_decision.py,Public,Reproducible on synthetic data (C21/C24/C25); output for the synthetic branch verified in this audit.
scripts/04_architecture_decision.py,Script,Yes,Author,"Thresholds Phase 1 stats into R1/R3/R4/R5 decisions; runs on both production and synthetic input",reports/architecture_decision.md,Public,"Threshold constants read directly during this audit (lines 43-56): confirm C14-C17, C22."
scripts/phase2/p2_01_build_kb.py,Script,Yes,Author,Builds knowledge base from product_account_mapping.csv,p2_02_classify_eval.py; p2_05_end_to_end.py,Public,"kb_summary.json's company_product_rules (1,172) is ~5% lower than product_account_mapping.csv's row count (1,234) — cause not documented anywhere; low-severity open item."
scripts/phase2/p2_02_classify_eval.py,Script,Yes,Author,"Held-out cascade eval; train/test split via p2lib/data.py's split_of()",data/outputs/phase2/classification_eval.csv; tier_distribution.csv; per_company_accuracy.csv,Public,Verified: split logic confirmed to live in p2lib/data.py (not embedded per-script) — same code path used for both production (63,048 test lines) and synthetic (1,616 test lines) runs.
scripts/phase2/p2_03_extract.py,Script,Yes,Author,"AWS Textract OCR, idempotent/cached",data/outputs/phase2/textract_raw/*.json,Public,Requires AWS keys only on first (uncached) call; all 5 synthetic fixtures are pre-cached and committed.
scripts/phase2/p2_05_end_to_end.py,Script,Yes,Author,Runs cached receipts through structure→cascade→retrieval bridge,data/outputs/phase2/e2e_classification.csv,Public,Synthetic output has 9 data rows (5 receipts); production claim (§3.1) covers 10 real receipts, correctly not reproduced here.
scripts/phase2/p2_06_llm_tail.py,Script,Yes,Author,LLM re-ranking on review tail (Groq API),data/outputs/phase2/llm_cache/ (gitignored),Public (code); confidential (cached real outputs — removed per METHODOLOGY.md item 3),Requires GROQ_API_KEY; no-key path exits cleanly per STATE.md. Not run during this audit.
scripts/phase2/p2_07_demo_data.py,Script,Yes,Author,Generates data feeding docs/demo/index.html,docs/demo/index.html,Public,Not read in full for this audit.
scripts/phase2/test_cascade.py,Script,Yes,Author,Fast self-checks for cascade logic,n/a (developer check),Public,Not executed during this audit (audit-only; no scripts were run).
scripts/phase2/p2lib/cascade.py,Library code,Yes,Author,Core cascade classification logic,p2_02/p2_05/p2_06,Public,"Tier trigger constants cross-checked against confidence.py and architecture/08_CONFIDENCE_CASCADE.md — match (C18)."
scripts/phase2/p2lib/confidence.py,Library code,Yes,Author,Named threshold constants (T1_ADS, T2_SIM, etc.),cascade.py,Public,Source of truth for C18's verified constants.
scripts/phase2/p2lib/retrieval.py,Library code,Yes,Author,rapidfuzz-based fuzzy fallback (explicit placeholder per §2.5/§4),cascade.py,Public,Contains a `# ponytail:` comment naming the embedding-layer gap, as TECHNICAL_REPORT §2.5 describes.
scripts/phase2/p2lib/data.py,Library code,Yes,Author,"Shared data loading, incl. split_of() train/test split",p2_02_classify_eval.py,Public,Confirmed as the actual location of the 80/20 split logic referenced in C04/C05.
scripts/phase2/p2lib/structure.py; normalize.py; kb.py; ai/adapter.py; ai/__init__.py,Library code,Yes,Author,Receipt structuring; text normalization; KB read/write; LLM adapter,p2_05/p2_06,Public,Not individually read in full for this audit.
data/outputs/invoice_lines_all_companies.csv,Data artifact (synthetic),Yes,scripts/00_generate_synthetic.py,03_5_dataset_intelligence.py,Public (synthetic),"7,524 lines incl. header → verifies C21's 7,523 figure."
data/outputs/product_account_mapping.csv,Data artifact (synthetic),Yes,scripts/00_generate_synthetic.py,p2_01_build_kb.py,Public (synthetic),"1,235 lines incl. header (1,234 data rows) — see p2_01_build_kb.py note above re: the 1,172 KB-rules discrepancy."
data/outputs/invoice_statistics.csv,Data artifact (synthetic),Yes,scripts/00_generate_synthetic.py,04_architecture_decision.py,Public (synthetic),Not individually inspected beyond row count.
data/outputs/gl_statistics.csv,Data artifact (synthetic),Yes,scripts/00_generate_synthetic.py,04_architecture_decision.py,Public (synthetic),Not individually inspected.
data/outputs/intelligence/dataset_statistics.csv,Data artifact (synthetic),Yes,scripts/03_5_dataset_intelligence.py,04_architecture_decision.py; humans,Public (synthetic),Read in full — confirms 60 companies etc. (C21).
data/outputs/intelligence/decision_matrix.csv,Data artifact (synthetic),Yes,scripts/04_architecture_decision.py,reports/architecture_decision.md,Public (synthetic),"Read in full — primary verification source for C14-C17, C22, C24."
data/outputs/intelligence/dataset_intelligence_report.md,Data artifact (synthetic),Yes,scripts/03_5_dataset_intelligence.py,Humans (not machine-consumed further),Public (synthetic),"Contains the 0.7756 / 0.9746 figures that don't match the 0.7632 / 0.931 figures used elsewhere — see C24, C25, Audit finding A3."
data/outputs/intelligence/data_quality_report.csv,Data artifact (synthetic),Yes,scripts/03_5_dataset_intelligence.py,Humans,Public (synthetic),Verified vat_percent 4.45% missing (C21).
data/outputs/intelligence/company_consistency.csv,Data artifact (synthetic),Yes,scripts/03_5_dataset_intelligence.py,Humans,Public (synthetic),Not individually inspected in this audit.
data/outputs/intelligence/cross_company_consistency.csv,Data artifact (synthetic),Yes,scripts/03_5_dataset_intelligence.py,Humans,Public (synthetic),Not individually inspected in this audit; likely the per-product detail behind the 0.7632/0.7756 aggregate figures.
data/outputs/intelligence/ai_readiness.csv; feature_selection.csv; product_ambiguity.csv; vat_consistency.csv,Data artifacts (synthetic),Yes,scripts/03_5_dataset_intelligence.py,04_architecture_decision.py,Public (synthetic),Not individually inspected in this audit.
data/outputs/phase2/kb/company_rules.csv,Data artifact (synthetic),Yes,scripts/phase2/p2_01_build_kb.py,p2_02_classify_eval.py,Public (synthetic),"1,173 lines incl. header (1,172 data rows) — matches kb_summary.json's company_product_rules."
data/outputs/phase2/kb/global_patterns.csv,Data artifact (synthetic),Yes,scripts/phase2/p2_01_build_kb.py,p2_02_classify_eval.py,Public (synthetic),"845 lines incl. header (844 data rows) — matches kb_summary.json's global_products, and the 844 figure used in R3's rationale (C15/C22)."
data/outputs/phase2/kb/kb_summary.json,Data artifact (synthetic),Yes,scripts/phase2/p2_01_build_kb.py,Humans,Public (synthetic),Read in full — source of the 844/1172/96.4% figures cross-checked in this audit.
data/outputs/phase2/classification_eval.csv,Data artifact (synthetic),Yes,scripts/phase2/p2_02_classify_eval.py,tier_distribution.csv; per_company_accuracy.csv,Public (synthetic),"1,617 lines incl. header (1,616 data rows) — matches tier_distribution.csv's tier counts summing to 1,616."
data/outputs/phase2/tier_distribution.csv,Data artifact (synthetic),Yes,scripts/phase2/p2_02_classify_eval.py,Humans; verification source for C23,Public (synthetic),Read in full — primary verification source for the 99.8%@76.2% synthetic cascade figure.
data/outputs/phase2/per_company_accuracy.csv,Data artifact (synthetic),Yes,scripts/phase2/p2_02_classify_eval.py,Humans,Public (synthetic),Not individually inspected beyond row count (60 rows = 60 companies).
data/outputs/phase2/e2e_classification.csv,Data artifact (synthetic),Yes,scripts/phase2/p2_05_end_to_end.py,Humans; docs/demo,Public (synthetic),"10 lines incl. header (9 data rows) — confirms this is the 5-receipt synthetic run, distinct from the 10-real-receipt production trace cited in §3.1/§2.4."
data/outputs/phase2/textract_raw/synth-receipt-01..05.analyze_expense.json,Data artifact (synthetic),Yes,Hand-written per METHODOLOGY.md item 2,p2_05_end_to_end.py,Public (synthetic fixtures),5 files confirmed present.
